Time,RTT,No.,Source,Destination,Protocol,Length,Info,Country,Region,City,Org,Longitude,Latitude,Connection,Label
2024-07-07 23:14:47,27.98230088495575,532600,192.168.8.134,162.249.72.5,UDP,73,63220  >  7114 Len=31,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:48,28.05357142857143,532778,192.168.8.134,162.249.72.5,UDP,73,63220  >  7114 Len=31,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:49,28.008,532956,162.249.72.5,192.168.8.134,UDP,160,7114  >  63220 Len=118,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:50,28.07964601769912,533135,162.249.72.5,192.168.8.134,UDP,136,7114  >  63220 Len=94,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:51,27.98387096774194,533292,192.168.8.134,162.249.72.5,UDP,85,63220  >  7114 Len=43,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:52,28.14876033057851,533500,192.168.8.134,162.249.72.5,UDP,85,63220  >  7114 Len=43,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:53,27.91596638655462,533747,192.168.8.134,162.249.72.5,UDP,85,63220  >  7114 Len=43,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:54,28.03361344537815,533975,192.168.8.134,162.249.72.5,UDP,103,63220  >  7114 Len=61,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:55,27.96581196581197,534146,192.168.8.134,162.249.72.5,UDP,73,63220  >  7114 Len=31,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:56,28.01680672268908,534356,162.249.72.5,192.168.8.134,UDP,159,7114  >  63220 Len=117,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:57,27.90909090909091,534561,192.168.8.134,162.249.72.5,UDP,69,63220  >  7114 Len=27,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:58,27.94160583941606,534795,192.168.8.134,162.249.72.5,UDP,117,63220  >  7114 Len=75,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:59,27.9645390070922,534971,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:15:00,28.00699300699301,535144,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:15:01,28.22,535359,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:15:02,27.88617886178862,535618,192.168.8.134,162.249.72.5,UDP,82,63220  >  7114 Len=40,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:15:03,27.91111111111111,535840,162.249.72.5,192.168.8.134,UDP,757,7114  >  63220 Len=715,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:15:04,28.00751879699248,536026,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
